time_ms,value,temperature_C
72581,259,25.00
72725,259,25.00
72870,258,25.00
73014,258,25.00
73159,258,25.00
73303,259,25.00
73448,258,25.00
73592,259,25.00
73737,259,25.00
73881,259,25.00
74026,259,25.00
74171,259,25.00
74315,259,25.00
74460,259,25.00
74604,258,25.00
74749,259,25.00
74893,258,25.00
75039,259,25.00
75184,258,25.00
75328,259,25.00
75473,258,25.00
75617,259,25.00
75762,258,25.00
75906,259,25.00
76051,259,25.00
76196,259,25.00
76343,258,25.00
76488,259,25.00
76632,259,25.00
76776,259,25.00
76921,260,25.00
77065,257,25.00
77210,258,25.00
77354,258,25.00
77499,258,25.00
77643,259,25.00
77788,258,25.00
77933,258,25.00
78077,259,25.00
78222,258,25.00
78366,259,25.00
78511,259,25.00
78655,259,25.00
78800,259,25.00
78946,259,25.00
79091,258,25.00
79235,258,25.00
79380,259,25.00
79524,259,25.00
79669,259,25.00
79813,258,25.00
79958,258,25.00
80102,259,25.00
80247,259,25.00
80391,258,25.00
80536,259,25.00
80683,260,25.00
80828,258,25.00
80972,260,25.00
81117,258,25.00
81261,259,25.00
81406,258,25.00
81550,258,25.00
81695,258,25.00
81839,259,25.00
81984,259,25.00
82128,259,25.00
82273,260,25.00
82417,259,25.00
82562,259,25.00
82706,259,25.00
82851,259,25.00
82997,259,25.00
83142,259,25.00
83286,258,25.00
83431,258,25.00
83575,258,25.00
83720,258,25.00
83864,258,25.00
84009,258,25.00
84153,259,25.00
84298,258,25.00
84442,259,25.00
84587,258,25.00
84731,258,25.00
84876,259,25.00
85023,259,25.00
85167,259,25.00
85312,259,25.00
85456,258,25.00
85601,259,25.00
85745,258,25.00
85890,258,25.00
86034,258,25.00
86179,259,25.00
86323,258,25.00
86468,258,25.00
86612,259,25.00
86757,258,25.00
86903,258,25.00
87048,258,25.00
87192,259,25.00
87337,259,25.00
87481,259,25.00
87626,258,25.00
87770,258,25.00
87915,260,25.00
88059,259,25.00
88204,258,25.00
88348,258,25.00
88493,258,25.00
88637,258,25.00
88782,258,25.00
88926,258,25.00
89071,259,25.00
89215,259,25.00
89362,258,25.00
